village,gram_panchayat,tehsil,district,member_list,cfr_boundary_description,cfr_map_attached,khasra_numbers,bordering_villages,frc_formed,gramsabha_meeting_frequency,major_nftps_collected,seasonal_income_forest_percent,forest_condition,fire_incidents_5yrs,water_availability_in_forest,water_supply_coverage,electricity_supply_coverage,road_access_condition
Bhilapur,GP Niwas,Niwas,Barwani,Yes,Boundary segment 0,Yes,Khasra 31,Alirajpur Falia,Yes,Quarterly,Tendu Leaves,17.48,Good,Yes,High,None,None,Moderate
Korku Pada,GP Ghughri,Pati,Dindori,Yes,Boundary segment 1,Yes,Khasra 40,Dindori Gaon,No,Quarterly,Mahua,8.24,Moderate,No,Low,None,Full,Good
Dindori Gaon,GP Ghughri,Sendhwa,Jhabua,Yes,Boundary segment 2,Yes,Khasra 389,Sheopur Pada,Yes,Rare,Bamboo,1.39,Good,No,High,None,Partial,Moderate
Alirajpur Falia,GP Jobat,Ghughri,Jhabua,Yes,Boundary segment 3,Yes,Khasra 39,Barwani Tola,Yes,Quarterly,Mahua,6.15,Moderate,No,Medium,Partial,Partial,Good
Gondwadi,GP Pushparajgarh,Sendhwa,Jhabua,Yes,Boundary segment 4,Yes,Khasra 137,Jhabua Kheda,Yes,Quarterly,Multiple,38.82,Good,No,Medium,None,Full,Moderate
Barwani Tola,GP Jobat,Bajag,Dindori,Yes,Boundary segment 5,Yes,Khasra 388,Korku Pada,Yes,Quarterly,Mahua,42.31,Good,Yes,Medium,None,Full,Poor
Jhabua Kheda,GP Pati,Pali,Barwani,Yes,Boundary segment 6,No,Khasra 332,Baiga Chak,Yes,Rare,Honey,51.49,Good,Yes,Low,Full,Full,Good
Korku Pada,GP Pushparajgarh,Sendhwa,Jhabua,Yes,Boundary segment 7,No,Khasra 364,Mandla Pur,No,Rare,Tendu Leaves,33.28,Good,No,Low,Partial,Partial,Good
Alirajpur Falia,GP Pushparajgarh,Pati,Jhabua,Yes,Boundary segment 8,No,Khasra 180,Alirajpur Falia,No,Rare,Bamboo,17.85,Moderate,Yes,Medium,Full,Full,Good
Gondwadi,GP Pati,Pati,Umaria,No,Boundary segment 9,No,Khasra 111,Bhilapur,Yes,Rare,Honey,62.42,Degraded,Yes,Medium,Full,Full,Good
Gondwadi,GP Pushparajgarh,Pali,Barwani,Yes,Boundary segment 10,No,Khasra 258,Baiga Chak,Yes,Quarterly,Mahua,67.41,Moderate,No,Medium,None,Partial,Good
Barwani Tola,GP Pati,Ghughri,Umaria,Yes,Boundary segment 11,No,Khasra 86,Jhabua Kheda,No,Monthly,Mahua,20.05,Moderate,No,Low,None,Partial,Poor
Sheopur Pada,GP Jobat,Sendhwa,Jhabua,Yes,Boundary segment 12,Yes,Khasra 45,Barwani Tola,Yes,Monthly,Mahua,22.52,Degraded,No,High,Partial,None,Poor
Alirajpur Falia,GP Pushparajgarh,Ghughri,Umaria,No,Boundary segment 13,Yes,Khasra 216,Alirajpur Falia,Yes,Quarterly,Bamboo,22.59,Moderate,No,Low,Full,None,Good
Bhilapur,GP Pati,Pali,Barwani,Yes,Boundary segment 14,Yes,Khasra 463,Gondwadi,No,Quarterly,Tendu Leaves,54.56,Degraded,Yes,Low,Full,Full,Moderate
Sheopur Pada,GP Jobat,Pali,Alirajpur,Yes,Boundary segment 15,No,Khasra 318,Gondwadi,No,Monthly,Bamboo,61.03,Degraded,Yes,Low,None,None,Good
Dindori Gaon,GP Ghughri,Jobat,Umaria,Yes,Boundary segment 16,No,Khasra 59,Barwani Tola,No,Rare,Honey,75.84,Good,No,Medium,Partial,None,Moderate
Jhabua Kheda,GP Ghughri,Jobat,Sheopur,Yes,Boundary segment 17,Yes,Khasra 195,Bhilapur,Yes,Quarterly,Tendu Leaves,52.79,Degraded,No,Medium,Partial,None,Good
