Village_Name,Gram_Panchayat,Tehsil,District,State,Water_Scarcity_Index,Groundwater_Level,Soil_Moisture_Index,Rainfall_Category,Drought_Prone,Flood_Prone,Forest_Cover_percent,Forest_Density,NTFP_Potential_Index,Soil_Erosion_Risk,Land_Slope_Degree,Elevation_m,Distance_Road_km,Distance_Market_km,Distance_Town_km,Terrain_Difficulty,Tap_Water_Coverage_percent,FHTC_percent,Primary_Drinking_Source,Sanitation_Coverage_percent,Electricity_Coverage_percent,Hours_Electricity_per_Day,Road_Connectivity_Status,PMGSY_Road_Completed,Distance_Primary_School_km,Distance_Secondary_School_km,School_in_Village,Literacy_Rate_percent,Female_Literacy_Rate_percent,Distance_Health_Subcenter_km,Distance_PHC_km,Immunization_Rate_percent,Total_Households,Total_Population,ST_Population_percent,PVTG_Flag,Female_Headed_HH_percent,Landless_HH_percent,Migration_Rate_percent,Wage_Labour_Dependence_percent,Agriculture_Dependence_percent,NTFP_Dependence_percent,Avg_Agricultural_Productivity,Rural_Poverty_Rate_percent,Unemployment_Rate_percent,SHG_Presence,Number_of_SHGs,PMAY_Completed_Houses_percent,Kutcha_Houses_percent,JJM_Coverage_percent,JJM_Projects_in_Progress,MGNREGA_Persondays_Last_Year,MGNREGA_Assets_Created_Count,SHG_Count,Village_Covered_under_NRLM,DAJGUA_Completed_Count,DAJGUA_Status,Climate_Vulnerability_Score,Disaster_History_Score,Forest_Fire_Incidents_5yrs,Malnutrition_Risk_Index,Water_Quality_Risk
Village_1,GP Niwas,Niwas,Mandla,Chhattisgarh,71.68,Deep,34.96,High,No,No,20.68,Dense,7.58,Medium,24.67,1477.49,8.28,20.17,58.84,Difficult,24.11,71.77,Handpump,7.42,24.59,23.31,Moderate,No,0.85,16.04,Yes,73.72,69.07,11.97,14.04,68.49,705,12996,76.71,Yes,33.26,0.38,13.59,45.32,22.06,46.32,Medium,15.12,26.31,Yes,56,17.99,18.57,39.65,4,29058,48,2,Yes,11,In Progress,36.09,71.59,0,88.59,Medium
Village_2,GP Ghughri,Bajag,Barwani,Jharkhand,63.65,Deep,14.44,High,Yes,Yes,60.13,Open,33.33,Medium,5.69,169.65,2.04,3.32,55.85,Difficult,82.04,74.53,Spring,77.76,57.18,11.17,Good,No,7.48,5.24,Yes,42.73,57.23,19.69,14.25,79.32,58,12679,57.8,Yes,25.9,67.34,27.18,2.36,13.98,31.45,High,32.98,8.07,No,43,72.24,22.96,16.24,7,3645,80,0,Yes,19,Not Started,67.62,69.87,17,73.93,Low
Village_3,GP Pati,Bajag,Alirajpur,Telangana,42.14,Shallow,44.64,Medium,No,No,16.31,Moderate,54.8,Low,21.24,319.11,6.44,28.76,13.53,Difficult,11.23,33.43,None,77.32,26.19,14.54,Poor,No,6.55,18.29,Yes,70.7,42.56,12.86,4.96,90.44,780,13985,76.67,No,25.51,59.08,25.73,64.53,37.83,7.39,Low,25.84,1.15,Yes,13,37.7,16.18,42.15,4,31752,92,39,No,6,In Progress,26.65,0.88,6,10.87,High
Village_4,GP Pushparajgarh,Pati,Umaria,Odisha,43.2,Medium,66.26,Low,Yes,Yes,3.79,Dense,31.96,Low,12.4,595.67,2.64,17.13,56.24,Difficult,13.64,11.15,None,29.12,52.24,16.84,Poor,No,7.85,5.44,Yes,78.77,48.04,9.37,29.96,39.25,483,13287,56.49,Yes,12.14,5.74,17.5,62.1,21.11,0.94,High,20.72,20.97,No,12,28.9,27.96,56.41,2,27083,81,9,Yes,2,Completed,64.66,26.46,4,81.38,High
Village_5,GP Bajag,Pali,Barwani,Odisha,17.56,Deep,75.48,High,Yes,No,28.6,Open,79.07,High,30.07,1239.92,22.94,24.32,11.37,Difficult,91.68,48.19,None,22.59,80.6,9.04,Moderate,Yes,0.87,13.87,Yes,45.44,35.86,16.72,6.24,45.48,101,11189,56.93,Yes,37.82,1.13,6.79,75.7,44.11,6.45,Low,64.68,17.07,Yes,53,21.05,19.46,59.91,9,28395,44,9,Yes,4,In Progress,71.74,85.8,23,4.98,Low
Village_6,GP Pati,Sendhwa,Sheopur,Chhattisgarh,27.43,Deep,70.17,Low,No,Yes,2.13,Dense,15.4,High,13.02,1382.72,23.99,19.7,58.48,Easy,16.97,60.21,Handpump,54.08,66.2,23.35,Moderate,No,9.52,0.33,No,71.0,52.99,1.18,21.83,71.3,971,2848,11.14,No,35.85,8.14,5.5,73.57,38.14,43.57,Low,66.02,6.06,Yes,3,4.58,21.05,52.69,3,45367,58,28,Yes,10,In Progress,25.15,12.17,17,82.53,Low
Village_7,GP Niwas,Pati,Alirajpur,Chhattisgarh,48.16,Deep,59.34,Medium,No,Yes,41.65,Open,38.44,High,17.95,426.08,4.43,28.94,29.71,Difficult,67.81,85.53,Tap,57.86,99.92,10.97,Moderate,Yes,4.93,10.65,Yes,63.46,14.53,6.89,6.36,80.62,449,6619,10.18,No,15.58,25.1,9.34,41.82,87.6,52.36,Low,44.6,30.65,Yes,45,92.55,53.63,33.4,4,14292,80,47,Yes,14,In Progress,52.65,28.22,16,18.51,Medium
Village_8,GP Jobat,Jobat,Mandla,Jharkhand,91.73,Medium,71.95,Medium,Yes,No,35.33,Moderate,38.64,Medium,5.71,1058.1,17.93,28.22,26.31,Difficult,1.41,13.26,Spring,37.22,49.25,3.87,Good,No,9.15,2.94,Yes,34.82,42.16,17.72,13.8,30.88,329,11814,73.86,No,15.68,3.79,6.15,46.75,64.98,63.31,Medium,22.73,4.1,Yes,17,96.78,29.73,12.67,7,30735,84,30,Yes,8,Not Started,37.43,51.98,7,7.54,Low
Village_9,GP Pati,Bajag,Alirajpur,Odisha,30.02,Shallow,29.37,Medium,Yes,Yes,75.38,Dense,85.21,Medium,33.64,1355.12,22.93,29.51,8.19,Difficult,19.55,34.99,Spring,66.37,72.57,22.61,Moderate,Yes,7.56,9.04,No,37.88,17.76,1.3,19.63,54.41,456,5003,47.16,No,16.81,61.07,11.75,20.85,81.39,92.47,Low,68.24,19.74,No,32,90.19,49.44,81.02,8,3729,96,47,Yes,15,In Progress,18.13,83.35,24,55.34,High
Village_10,GP Jobat,Ghughri,Barwani,Madhya Pradesh,42.38,Shallow,60.41,Low,No,Yes,79.79,Moderate,2.7,High,6.55,807.45,9.1,12.5,3.7,Difficult,45.06,33.42,Tap,78.86,91.6,8.08,Good,Yes,3.86,11.81,No,83.49,32.78,15.32,5.94,65.83,131,6655,16.09,No,38.23,11.34,27.79,4.6,3.36,12.29,High,7.85,3.52,Yes,52,36.9,1.04,68.39,5,27633,97,39,No,1,Completed,46.13,94.01,21,86.74,Medium
