Village_Name,Gram_Panchayat,Tehsil,District,Water_Scarcity_Index,Groundwater_Level,Soil_Moisture_Index,Rainfall_Category,Drought_Prone,ST_HH_percent,Female_HH_percent,Elderly_percent,Disability_percent,NTFP_Dependency_percent,WageLabour_Dependency_percent,Forest_Degradation_Index,Fire_Incidents_5yrs,CRI_Score,Priority_Level
Ghughri,GP D,Barwani,Dindori,57.479737135661566,Deep,64.48360493613333,Low,Yes,15.966991100454734,22.563203115086026,25.703501619836118,5.3569780217095015,3.2326142280273307,57.54901350693187,8.643506104120924,0,40.06769018493556,Low
Katangi,GP A,Pati,Umaria,41.12419389553131,Deep,48.98879191298376,Medium,No,53.09698275154375,30.340283353926313,20.26545439186491,3.3781368976754136,28.586550324501673,72.94497633159708,52.67140269195688,3,47.127537405606624,Low
Pipariya,GP H,Barwani,Barwani,51.645107804632616,Shallow,71.72772685115237,High,No,41.10458890444404,41.089269356948996,20.556281468842062,4.6875442984029565,36.894705255114445,55.797941006570994,97.03154958671195,2,58.401885031856786,Low
Chhindwara,GP G,Niwas,Mandla,55.96448948656371,Medium,19.20394201582536,Low,No,88.4239109653339,54.607726253803065,25.84810540589304,2.6021429920419967,76.61577603539382,77.96460026063708,49.89440745172781,3,56.919887015405216,Low
Kundam,GP B,Barwani,Umaria,26.157160394405636,Shallow,82.91814210965742,Medium,No,30.121222482406253,32.987911934158646,32.782355245210795,1.4870547258824474,39.76488562974611,87.12908737001476,10.31013960130236,6,44.4826870001562,Low
Kundam,GP C,Bajag,Umaria,79.49367671978008,Medium,87.76717991973834,Medium,Yes,32.34619653846018,36.48066490673278,21.39629955007171,4.179437383900949,34.30504677360405,55.53273520763615,73.9723438415911,2,72.12750565098887,Medium
Deori,GP F,Pali,Umaria,23.13643136189362,Deep,82.88420081350051,Medium,No,29.61767174812269,77.59153565021998,8.998535359066475,7.0825934269791215,24.22821682757018,34.94914666921377,62.311689370373855,5,47.42772149409673,Low
Katangi,GP H,Pati,Mandla,54.64589683878301,Shallow,56.282070117006015,Low,No,35.79323138388871,48.900969598559975,24.402071711544902,0.699950263868786,4.693359049110982,23.62684328093979,70.5154682517053,1,40.09996992429387,Low
Kundam,GP A,Mandla,Mandla,57.13796405646158,Deep,87.74572340277174,Medium,No,38.94311839229238,34.80475133457273,21.09593130555546,2.425854785432251,63.73347409029545,51.45223594286946,94.44288049786816,0,59.55554362027395,Low
Damoh,GP C,Mandla,Dindori,64.78662621083684,Medium,9.720397401460307,Low,Yes,37.7367205414944,30.0875127440185,11.974128617294712,8.072170148164673,3.035156709324276,4.544497103163016,79.34825396779763,6,62.21049243458535,Medium
Pipariya,GP F,Niwas,Barwani,69.1336922412491,Medium,22.893132779014532,High,Yes,15.268031279108875,14.422706309591856,2.226629453992865,3.062508544430388,0.310508104872409,38.205335437877224,35.75668521426509,5,51.99245130508456,Low
Ghoradongri,GP C,Mandla,Barwani,74.96172373982739,Medium,29.249322739326967,Medium,Yes,19.899635885116925,47.447129065750694,15.574756099122375,4.612307028151048,32.473338409916906,40.14309963502339,68.85052048404948,5,67.25709526942074,Medium
Kundam,GP H,Bajag,Dindori,39.04540470474342,Deep,76.06003803378321,High,No,81.84974893530807,39.158119911311424,9.13259944023022,3.9087117681874517,88.57680239884367,32.98485705511641,61.534865145489334,2,57.616511754331164,Low
Amarpur,GP F,Pali,Mandla,54.988177071346485,Deep,24.392890846370886,Medium,No,16.830024751899032,74.0518192447025,19.88268444246124,3.9753871261292617,62.22224230464711,29.16529677732819,86.22186072777596,5,56.175849325902846,Low
Ghughri,GP G,Mandla,Umaria,80.70484922680825,Medium,11.841461673070903,High,Yes,59.38610746031691,41.4972102094014,36.02647771634087,4.925537892960705,18.99247069177051,28.61513715274967,13.476339387919046,0,43.30795346338032,Low
